dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|check
bagalkot|badami|badami|bagalkot|badami|badami|725|1.0
bagalkot|badami|beluru|bagalkot|badami|beluru|9544|1.0
bagalkot|badami|cholachagudda|bagalkot|badami|cholachagudda|726|1.0
bagalkot|badami|halakurki|bagalkot|badami|halakurki|721|1.0
bagalkot|badami|haligeri|bagalkot|badami|haligeri|731|1.0
bagalkot|badami|hansanur|bagalkot|badami|hansanur|9549|1.0
bagalkot|badami|hebballi|bagalkot|badami|hebballi|724|1.0
bagalkot|badami|kagalgomba|bagalkot|badami|kagalgomba|719|1.0
bagalkot|badami|katageri|bagalkot|badami|katageri|720|1.0
bagalkot|badami|kerur|bagalkot|badami|kerur|722|1.0
bagalkot|badami|kotikal|bagalkot|badami|kotikal|728|1.0
bagalkot|badami|kulageri cross|bagalkot|badami|kulageri cross|723|1.0
bagalkot|badami|layadagundi|bagalkot|badami|layadagundi|729|1.0
bagalkot|badami|muttalageri|bagalkot|badami|muttalageri|9547|1.0
bagalkot|badami|nandikeswara|bagalkot|badami|nandikeswara|727|1.0
bagalkot|badami|narenur|bagalkot|badami|narenur|9545|1.0
bagalkot|badami|neelagund|bagalkot|badami|neelagund|9548|1.0
bagalkot|badami|neerabudhihal|bagalkot|badami|neerabudhihal|718|1.0
bagalkot|badami|urdu badami|bagalkot|badami|urdu badami|9550|1.0
bagalkot|badami|urdu guledagudd|bagalkot|badami|urdu guledagudd|9546|1.0
bagalkot|bagalkot|kbmps bhagavati|bagalkot|bagalkot|kbmps bhagavati|734|1.0
bagalkot|bagalkot|kbs gaddankeri|bagalkot|bagalkot|kbs gaddankeri|735|1.0
bagalkot|bagalkot|kbs kaladagi|bagalkot|bagalkot|kbs kaladagi|736|1.0
bagalkot|bagalkot|kbs sitimani r s|bagalkot|bagalkot|kbs sitimani r s|737|1.0
bagalkot|bagalkot|legislature m school no4|bagalkot|bagalkot|legislature m school no4|732|1.0
bagalkot|bagalkot|mugalolli|bagalkot|bagalkot|mugalolli|739|1.0
bagalkot|bagalkot|nainegali|bagalkot|bagalkot|nainegali|9483|1.0
bagalkot|bagalkot|navanager|bagalkot|bagalkot|navanager|9481|1.0
bagalkot|bagalkot|shirur|bagalkot|bagalkot|shirur|738|1.0
bagalkot|bagalkot|sutagundar|bagalkot|bagalkot|sutagundar|9484|1.0
bagalkot|bagalkot|urdu crc east|bagalkot|bagalkot|urdu crc east|740|1.0
bagalkot|bagalkot|urdu west|bagalkot|bagalkot|urdu west|9485|1.0
bagalkot|bagalkot|vidyagiri|bagalkot|bagalkot|vidyagiri|9482|1.0
bagalkot|bilagi|anagwadi|bagalkot|bilagi|anagwadi|9486|1.0
bagalkot|bilagi|bilagi|bagalkot|bilagi|bilagi|744|1.0
bagalkot|bilagi|kandagal|bagalkot|bilagi|kandagal|9488|1.0
bagalkot|bilagi|kataraki|bagalkot|bilagi|kataraki|9553|1.0
bagalkot|bilagi|kundargi|bagalkot|bilagi|kundargi|742|1.0
bagalkot|bilagi|manniker|bagalkot|bilagi|manniker|9487|1.0
bagalkot|bilagi|siddapur|bagalkot|bilagi|siddapur|9552|1.0
bagalkot|bilagi|sunag|bagalkot|bilagi|sunag|743|1.0
bagalkot|bilagi|teggi|bagalkot|bilagi|teggi|745|1.0
bagalkot|bilagi|urdu crc|bagalkot|bilagi|urdu crc|9489|1.0
bagalkot|bilagi|yadahalli|bagalkot|bilagi|yadahalli|746|1.0
bagalkot|hunagund|amingad|bagalkot|hunagund|amingad|760|1.0
bagalkot|hunagund|bingawadagi|bagalkot|hunagund|bingawadagi|752|1.0
bagalkot|hunagund|dhannur|bagalkot|hunagund|dhannur|750|1.0
bagalkot|hunagund|gudur|bagalkot|hunagund|gudur|758|1.0
bagalkot|hunagund|hungund|bagalkot|hunagund|hungund|751|1.0
bagalkot|hunagund|ilkal (urdu crc)|bagalkot|hunagund|ilkal (urdu crc)|761|1.0
