dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|klpid|check
bagalkot|badami|badami|bagalkot|badami|badami|725|1
bagalkot|badami|beluru|bagalkot|badami|beluru|9544|1
bagalkot|badami|cholachagudda|bagalkot|badami|cholachagudda|726|1
bagalkot|badami|halakurki|bagalkot|badami|halakurki|721|1
bagalkot|badami|haligeri|bagalkot|badami|haligeri|731|1
bagalkot|badami|hansanur|bagalkot|badami|hansanur|9549|1
bagalkot|badami|hebballi|bagalkot|badami|hebballi|724|1
bagalkot|badami|housur|bagalkot|badami|housur|9713|1
bagalkot|badami|inam hullikeri|bagalkot|badami|inam hullikeri|9714|1
bagalkot|badami|kagalgomba|bagalkot|badami|kagalgomba|719|1
bagalkot|badami|katageri|bagalkot|badami|katageri|720|1
bagalkot|badami|kerur|bagalkot|badami|kerur|722|1
bagalkot|badami|kotikal|bagalkot|badami|kotikal|728|1
bagalkot|badami|kulageri cross|bagalkot|badami|kulageri cross|723|1
bagalkot|badami|layadagundi|bagalkot|badami|layadagundi|729|1
bagalkot|badami|muttalageri|bagalkot|badami|muttalageri|9547|1
bagalkot|badami|nandikeswara|bagalkot|badami|nandikeswara|727|1
bagalkot|badami|narenur|bagalkot|badami|narenur|9545|1
bagalkot|badami|neelagund|bagalkot|badami|neelagund|9548|1
bagalkot|badami|neerabudhihal|bagalkot|badami|neerabudhihal|718|1
bagalkot|badami|urdu badami|bagalkot|badami|urdu badami|9550|1
bagalkot|badami|urdu guledagudd|bagalkot|badami|urdu guledagudd|9546|1
bagalkot|bagalkot|benur|bagalkot|bagalkot|benur|9715|1
bagalkot|bagalkot|bevoor|bagalkot|bagalkot|bevoor|9716|1
bagalkot|bagalkot|gulabal|bagalkot|bagalkot|gulabal|9717|1
bagalkot|bagalkot|kadampur|bagalkot|bagalkot|kadampur|9718|1
bagalkot|bagalkot|kbmps bhagavati|bagalkot|bagalkot|kbmps bhagavati|734|1
bagalkot|bagalkot|kbs gaddankeri|bagalkot|bagalkot|kbs gaddankeri|735|1
bagalkot|bagalkot|kbs kaladagi|bagalkot|bagalkot|kbs kaladagi|736|1
bagalkot|bagalkot|kbs sitimani r s|bagalkot|bagalkot|kbs sitimani r s|737|1
bagalkot|bagalkot|legislature m school no4|bagalkot|bagalkot|legislature m school no4|732|1
bagalkot|bagalkot|mugalolli|bagalkot|bagalkot|mugalolli|739|1
bagalkot|bagalkot|nainegali|bagalkot|bagalkot|nainegali|9483|1
bagalkot|bagalkot|navanager|bagalkot|bagalkot|navanager|9481|1
bagalkot|bagalkot|shirur|bagalkot|bagalkot|shirur|738|1
bagalkot|bagalkot|sutagundar|bagalkot|bagalkot|sutagundar|9484|1
bagalkot|bagalkot|tulsigiri|bagalkot|bagalkot|tulsigiri|9719|1
bagalkot|bagalkot|urdu crc east|bagalkot|bagalkot|urdu crc east|740|1
bagalkot|bagalkot|urdu west|bagalkot|bagalkot|urdu west|9485|1
bagalkot|bagalkot|vidyagiri|bagalkot|bagalkot|vidyagiri|9482|1
bagalkot|bagalkot|yadahalli-(bgk)|bagalkot|bagalkot|yadahalli-(bgk)|9720|1
bagalkot|bilagi|anagwadi|bagalkot|bilagi|anagwadi|9486|1
bagalkot|bilagi|bilagi|bagalkot|bilagi|bilagi|744|1
bagalkot|bilagi|galagali|bagalkot|bilagi|galagali|9721|1
bagalkot|bilagi|kandagal|bagalkot|bilagi|kandagal|9488|1
bagalkot|bilagi|kataraki|bagalkot|bilagi|kataraki|9553|1
bagalkot|bilagi|kundargi|bagalkot|bilagi|kundargi|742|1
bagalkot|bilagi|manniker|bagalkot|bilagi|manniker|9487|1
bagalkot|bilagi|siddapur|bagalkot|bilagi|siddapur|9552|1
bagalkot|bilagi|sunag|bagalkot|bilagi|sunag|743|1
bagalkot|bilagi|teggi|bagalkot|bilagi|teggi|745|1
bagalkot|bilagi|urdu crc|bagalkot|bilagi|urdu crc|9489|1
bagalkot|bilagi|yadahalli|bagalkot|bilagi|yadahalli|746|1
bagalkot|hunagund|aihole|bagalkot|hunagund|aihole|9722|1
bagalkot|hunagund|amingad|bagalkot|hunagund|amingad|760|1
bagalkot|hunagund|bingawadagi|bagalkot|hunagund|bingawadagi|752|1
bagalkot|hunagund|budihal s k|bagalkot|hunagund|budihal s k|9723|1
bagalkot|hunagund|chicknal|bagalkot|hunagund|chicknal|9724|1
bagalkot|hunagund|dhannur|bagalkot|hunagund|dhannur|750|1
bagalkot|hunagund|gudur|bagalkot|hunagund|gudur|758|1
bagalkot|hunagund|heremagi|bagalkot|hunagund|heremagi|9725|1
bagalkot|hunagund|hiresingangutti|bagalkot|hunagund|hiresingangutti|9726|1
bagalkot|hunagund|hungund|bagalkot|hunagund|hungund|751|1
bagalkot|hunagund|ilakal east|bagalkot|hunagund|ilakal east|9727|1
