dise_dist|dise_blck|klp_clust|klp_cluster_id|dise_dist|dise_blck|dise_clust|Klp=1/dise=2|
bagalkot|badami|guledagudda(e)|730|bagalkot|badami|guledagudda (e)|1|0.966
bagalkot|badami|guledagudda(w)|9551|bagalkot|badami|guledagudda (w)|1|0.966
bangalore rural|devanahalli|devanahalli town|2382|bangalore rural|devanahalli|devanahalli town]|1|0.97
bangalore u north|north1|krishnananda nagara|8930|bangalore u north|north1|krishnananda nagar|1|0.973
bangalore u north|north1|rajajinagar|9008|bangalore u north|north1|rajajinagara|2|0.957
bangalore u north|north2|sri ramapuram|8923|bangalore u north|north2|sri rampuram|2|0.96
bangalore u north|north3|pottery town|8948|bangalore u north|north3|p0try town|1|0.818
bangalore u north|north4|abbigere|9000|bangalore u north|north4|abbigerie|1|0.941
bangalore u north|north4|agrahara layout|8999|bangalore u north|north4|aggarahara layout|1|0.938
bangalore u north|north4|byatarayanpura|8906|bangalore u north|north4|byataranpura|1|0.923
bangalore u north|north4|dodda byalakere|8915|bangalore u north|north4|doodda byalakere|1|0.968
bangalore u north|north4|mathahalli|9001|bangalore u north|north4|mthahalli|1|0.947
bangalore u north|north4|yelehanka new town|8962|bangalore u north|north4|yelahanka new town|2|0.944
bangalore u north|north4|yelehanka old town|8966|bangalore u north|north4|yelahanka old town|2|0.944
bangalore u south|anekal|chandapura|9161|bangalore u south|anekal|chendapura|1|0.9
bangalore u south|anekal|huskur|8960|bangalore u south|anekal|huskur]|1|0.923
bangalore u south|south1|kumbalagodu|8891|bangalore u south|south1|kumbalgodu|1|0.952
bangalore u south|south2|byatarayanapura|8892|bangalore u south|south2|byataranapura|1|0.929
bangalore u south|south2|chamarajpete|8902|bangalore u south|south2|chamrajpete|1|0.957
bangalore u south|south3|austin town|9539|bangalore u south|south3|astin town|1|0.952
bangalore u south|south3|ejipura|8912|bangalore u south|south3|eejepura|1|0.8
belgaum chikkodi|athani|sambargi|3088|belgaum chikkodi|athani|sambaragi|1|0.8
belgaum chikkodi|athani|shitahatti|3090|belgaum chikkodi|athani|shirahatti|2|0.9
belgaum chikkodi|gokak|ankalgi|3110|belgaum chikkodi|gokak|ankalagi|2|0.933
belgaum chikkodi|gokak|khangaon|3109|belgaum chikkodi|gokak|khanagaon|2|0.941
belgaum chikkodi|gokak|mamdapur|3111|belgaum chikkodi|gokak|mamadapur|2|0.941
bellary|hadagali|hadagali graamina|1521|bellary|hadagali|hadagali gramina|1|0.97
bellary|hospet|15th ward hospet|1531|bellary|hospet|15th ward, hospet|1|0.97
bellary|hospet|8th ward kampli|9438|bellary|hospet|8th ward, kampli|1|0.968
bellary|hospet|ambedkar j.rd.hpt.|1532|bellary|hospet|ambedkar,j.rd.hpt.|1|0.944
bellary|hospet|s.n.pet  kampli|1542|bellary|hospet|s.n.pet,  kampli|1|0.968
bellary|hospet|vinobha chithawadgi hpt|1545|bellary|hospet|vinobha,chithawadgi hpt|1|0.957
bellary|kudligi|kottur lbs badavane|1560|bellary|kudligi|kottur, lbs badavane|1|0.974
bellary|kudligi|kudligi for boys|1551|bellary|kudligi|kudligi, for boys|1|0.97
bellary|kudligi|kudligi for girls|1552|bellary|kudligi|kudligi, for girls|1|0.971
bellary|kudligi|ujjini for girls|1553|bellary|kudligi|ujjini, for girls|1|0.97
bellary|siruguppa|siruguppa 5th ward|1573|bellary|siruguppa|siruguppa, 5th ward|1|0.973
bellary|siruguppa|siruguppa 6th ward|1574|bellary|siruguppa|siruguppa, 6th ward|1|0.973
bidar|bhalki|dhannura(s)|1021|bidar|bhalki|dhannura (s)|1|0.957
bijapur|bijapur city|kbs no. 26 jalanagar|9589|bijapur|bijapur city|kbs no. 26 jala nagar|1|0.976
chamarajanagara|chamaraja nagar|chamrajanagar-1v|9630|chamarajanagara|chamaraja nagar|chamarajanagar-1v|2|0.97
chamarajanagara|yelandur|duggatti|2901|chamarajanagara|yelandur|duggahatti|2|0.889
chikkaballapura|bagepally|bagepally rural|3020|chikkaballapura|bagepally|bagepalli rural|1|0.933
chikkaballapura|sidlaghatta|ablodu|3072|chikkaballapura|sidlaghatta|abloodu|1|0.923
chikkaballapura|sidlaghatta|sidlaghatta|3075|chikkaballapura|sidlaghatta|shidlaghatta|1|0.957
chikkamangalore|chikmagalur|mugathihalli|2029|chikkamangalore|chikmagalur|mugathihalli - 01|2|0.828
chikkamangalore|moodigere|mokonahalli|2050|chikkamangalore|moodigere|makonahalli|2|0.909
chitradurga|chitradurga|bhimasamudra|1604|chitradurga|chitradurga|bheemasamudra|2|0.88
chitradurga|chitradurga|chikkabennur|1610|chitradurga|chitradurga|chikkabennuru|2|0.96
chitradurga|chitradurga|godabanal|1603|chitradurga|chitradurga|godabanahal|2|0.9
chitradurga|hiriyur|hiriyur north|1630|chitradurga|hiriyur|hiriyur  north|1|0.963
chitradurga|hosadurga|s.nerlakere|1659|chitradurga|hosadurga|s.neralakere|2|0.957
davanagere|channagiri|karebilachi|1690|davanagere|channagiri|kerebilachi|2|0.909
davanagere|channagiri|santhebennuru|1693|davanagere|channagiri|santhebennuru-1|2|0.929
davanagere|davanagere(s)|mayakona|1724|davanagere|davanagere(s)|mayakonda|2|0.941
davanagere|harapanahalli|harapanahalli|1779|davanagere|harapanahalli|harapanahalli-north|2|0.813
davanagere|harapanahalli|maththihalli|1767|davanagere|harapanahalli|mathihalli|2|0.909
davanagere|honnali|urdu crc honnali|1754|davanagere|honnali|urdu honnali-1|2|0.8
davanagere|jagalur|donehalli|1759|davanagere|jagalur|donnehalli|2|0.947
dharwad|dharwad city|gandhi chowk|9134|dharwad|dharwad city|gandhi chouk|1|0.917
dharwad|dharwad city|madarmaddi dwd|1282|dharwad|dharwad city|madarmaddi kan dwd|1|0.875
dharwad|dharwad city|malamaddi dwd|1281|dharwad|dharwad city|malamaddi dharwad|1|0.867
dharwad|hubli city|sadashiv nagar|9142|dharwad|hubli city|sadashivnagar|1|0.963
dharwad|kundagol|gudigeri|1261|dharwad|kundagol|gudageri|2|0.875
gadag|gadag rural|hulakoti|1222|gadag|gadag rural|hulkoti|2|0.933
gadag|gadag rural|mulgund|1218|gadag|gadag rural|mulagund|2|0.933
gadag|gadag rural|sortur|1225|gadag|gadag rural|soratur|2|0.923
gadag|mundaragi|hirawaddatti|9110|gadag|mundaragi|hirewaddtti|2|0.87
gadag|shirhatti|lakshmeshwar|1214|gadag|shirhatti|lakshmeshwar north|2|0.8
gulbarga|afzalpur|ballurgi|9263|gulbarga|afzalpur|baluragi|2|0.875
gulbarga|afzalpur|devalgangapur|893|gulbarga|afzalpur|deval gangapur|2|0.963
gulbarga|chincholi|chimanchod|904|gulbarga|chincholi|chimmanchod|2|0.952
gulbarga|chittapur|madabola|925|gulbarga|chittapur|madaboola|2|0.941
gulbarga|chittapur|reveggi|922|gulbarga|chittapur|revaggi|2|0.857
haveri|ranebennur|challageri|1471|haveri|ranebennur|chalageri|2|0.947
haveri|ranebennur|gudi honatti|1474|haveri|ranebennur|gudihonatti|2|0.957
haveri|ranebennur|harangiri|1475|haveri|ranebennur|haranagiri|2|0.947
kodagu|madikeri|bagamandala|2717|kodagu|madikeri|bhagamandala|2|0.957
kodagu|madikeri|murnad|2722|kodagu|madikeri|murnadu|2|0.923
kodagu|madikeri|nspoklu|2723|kodagu|madikeri|napoklu|2|0.857
kodagu|virajpet|pollibetta|2744|kodagu|virajpet|polibetta|1|0.947
koppal|koppal|budagumpa|1152|koppal|koppal|boodagumpa|2|0.842
koppal|kustagi|killarhatti|9108|koppal|kustagi|killarahatti|2|0.957
koppal|kustagi|mudenur|1158|koppal|kustagi|mudenoor|2|0.8
koppal|kustagi|sanghanal|9105|koppal|kustagi|sanganahal|2|0.842
koppal|kustagi|thavaragera|1159|koppal|kustagi|tavaragera|2|0.952
koppal|yelburga|hirevnkalakunta|1167|koppal|yelburga|hirevankalakunta|2|0.968
koppal|yelburga|kukanur|1169|koppal|yelburga|kukanoor|2|0.8
koppal|yelburga|mangalur|1170|koppal|yelburga|mangalore|2|0.824
koppal|yelburga|thalakal|1172|koppal|yelburga|talakal|2|0.933
koppal|yelburga|yalaburga|1173|koppal|yelburga|yelaburga|2|0.889
mandya|krishnaraja pet|gandinagara|2410|mandya|krishnaraja pet|gandhinagara|2|0.957
mandya|maddur|chikkarasinakere|2416|mandya|maddur|chikkaarasinakere|1|0.97
mandya|mandya north|shilavalli|2513|mandya|mandya north|shivalli|2|0.889
mandya|mandya south|mandya|2463|mandya|mandya south|mandya 03|2|0.8
mandya|nagamangala|bhogadi|2478|mandya|nagamangala|bogadi|2|0.923
mandya|nagamangala|bramhadevara hally|2467|mandya|nagamangala|brahmadevara hally|2|0.944
mandya|nagamangala|koochahhalli|2481|mandya|nagamangala|koochahalli|2|0.957
mandya|pandavapura|chinakuruli|2483|mandya|pandavapura|chinakurali|1|0.909
mandya|pandavapura|ragimudanahlli|2492|mandya|pandavapura|ragimuddanahalli|2|0.933
mandya|pandavapura|sunka thonnur|2491|mandya|pandavapura|sunka thonnuru|2|0.963
mysore|mysore north|rajivnagara(urdu)|9189|mysore|mysore north|rajivnagara(urdu|1|0.97
