dist|blck|clst|klpid|name|disecode
 bagalkot          | badami             | badami                    |1933| GLPS MUTTALAGERI                                           |29020111003
 bagalkot          | badami             | badami                    |1917| GOVT HPS ALADAKATTI                                        |29020100301
 bagalkot          | badami             | badami                    |1927| GOVT HPS ANAND NAGER BADAMI                                |29020116001
 bagalkot          | badami             | badami                    |1925| GOVT HPS BADAMI ASHRAYA NAGAR                              |29020115602
 bagalkot          | badami             | badami                    |1932| GOVT HPS MUTTALAGERI                                       |29020111001
 bagalkot          | badami             | badami                    |1924| GOVT HPS TIPPU NAGAR BADAMI                                |29020115102
 bagalkot          | badami             | badami                    |1934| GOVT HPS YARAGOPPA SB                                      |29020114501
 bagalkot          | badami             | badami                    |1935| GOVT KBLPS SHIVAPUR                                        |29020114502
 bagalkot          | badami             | badami                    |1922| GOVT KGS BADAMI                                            | 
 bagalkot          | badami             | badami                    |1918| GOVT LPS ALADAKATTI CROSS                                  |29020100302
 bagalkot          | badami             | badami                    |1930| GOVT LPS APMC YARD JAYA NAGAR BADAMI                       |29020115903
 bagalkot          | badami             | badami                    |1929| GOVT LPS KEB COLONY BADAMI new)                            |29020115103
 bagalkot          | badami             | badami                    |1926| GOVT LPS TATAKOTI                                          |29020115203
 bagalkot          | badami             | badami                    |1921| GOVT MLA MPS BADAMI                                        |29020115801
 bagalkot          | badami             | badami                    |1919| GOVT MPS BADAMI                                            |29020115101
 bagalkot          | badami             | badami                    |1928| LPS VADDAR ONI BADAMI                                      |29020115902
 bagalkot          | badami             | beluru                    |1937| GOVT HPS BELUR                                             |29020101701
 bagalkot          | badami             | cholachagudda             |1938| GOVT HP KGS BELUR                                          | 
 bagalkot          | badami             | cholachagudda             |1943| GOVT HPS DHANAKASHIRUR                                     |29020102801
 bagalkot          | badami             | cholachagudda             |1944| GOVT HPS GUDDADMALLAPUR                                    |29020103501
 bagalkot          | badami             | cholachagudda             |1945| GOVT HPS HOSUR                                             |29020105501
 bagalkot          | badami             | cholachagudda             |1953| GOVT HPS KHYAD                                             |29020108801
 bagalkot          | badami             | cholachagudda             |1948| GOVT KBHPS GIDDANAYAKANAL                                  |29020105504
 bagalkot          | badami             | cholachagudda             |1946| GOVT KGLPS HOSUR                                           |29020105502
 bagalkot          | badami             | cholachagudda             |1940| GOVT KGS CHOLACHAGUDDA                                     |29020102702
 bagalkot          | badami             | cholachagudda             |1950| GOVT KGS JALIHAL                                           |29020106208
 bagalkot          | badami             | cholachagudda             |1936| GOVT LPS ANANTGIRI LT                                      |29020100601
 bagalkot          | badami             | cholachagudda             |1942| GOVT LPS BANASHANKARI                                      |29020102706
 bagalkot          | badami             | cholachagudda             |1952| GOVT LPS JALIHAL HK                                        |29020106204
 bagalkot          | badami             | cholachagudda             |1954| GOVT LPS NAGARAL SB                                        |29020111201
 bagalkot          | badami             | cholachagudda             |1955| GOVT LPS NASAGUNNI                                         |29020111601
 bagalkot          | badami             | cholachagudda             |1939| GOVT MPS CHOLACHAGUDDA                                     |29020102701
 bagalkot          | badami             | cholachagudda             |1949| GOVT MPS JALIHAL                                           |29020106201
 bagalkot          | badami             | cholachagudda             |1947| GOVT UBLPS HOSUR                                           |29020105503
 bagalkot          | badami             | cholachagudda             |1941| GOVT UBS CHOLACHAGUDDA                                     |29020102703
 bagalkot          | badami             | cholachagudda             |1951| GOVT UBS JALIHAL                                           |29020106203
 bagalkot          | badami             | cholachagudda             |29763| HPSGIRLS CHOLACHAGUDDA                                     | 
 bagalkot          | badami             | cholachagudda             |29759| LPS CHOLACHAGUDDA PLOTA                                    |29020102709
 bagalkot          | badami             | guledagudda(e)            |2003| GOVT KBS 3 GULEDAGUDD                                      |29020117406
 bagalkot          | badami             | guledagudda(e)            |2010| GOVT KBS 5 GULEDAGUDD                                      |29020117404
 bagalkot          | badami             | guledagudda(e)            |2005| GOVT KGS 2 GULEDAGUDD                                      |29020117503
 bagalkot          | badami             | guledagudda(e)            |2015| GOVT LPS ASHRAYA CALANI                                    |29020117603
 bagalkot          | badami             | guledagudda(e)            |2016| GOVT LPS MUKESHWAR NAGAR GULEDAGUD                         |29020117604
 bagalkot          | badami             | guledagudda(e)            |2002| GOVT MPS GULEDAGUDD                                        |29020117601
 bagalkot          | badami             | guledagudda(e)            |2001| GULEDGUDD TANDA                                            |29020117501
 bagalkot          | badami             | guledagudda(w)            |2008| GOVT KBS 1 GULEDAGUDD                                      |29020117201
 bagalkot          | badami             | guledagudda(w)            |2009| GOVT KBS 4 GULEDAGUDD                                      |29020117304
 bagalkot          | badami             | guledagudda(w)            |2004| GOVT KGS 1 GULEDAGUDD                                      |29020117301
