district|block|cluster|klpid|schoolname|disecode
 bagalkot          | badami             | nandikeswara              |1963| UGLPS NANDIKESHWAR                                         |29020111306
 bagalkot          | bagalkot           | kbs gaddankeri            |2087| GOVT LPS DEVANAL DOREGOL TOTA new)                         | 
 bagalkot          | bagalkot           | kbs gaddankeri            |2095| GOVTHPS NAKARAGUNDI R.C.                                   | 
 bagalkot          | bagalkot           | kbs kaladagi              |2120| LPS TOTADA SCHOOL SOKANADAGI                               | 
 bagalkot          | bagalkot           | legislature m school no4  |2047| LPS LAXMIGUDI ARIEA BGK new)                               | 
 bagalkot          | bagalkot           | legislature m school no4  |2048| LPS VINAYAK NAGAR BGK new)                                 | 
 bagalkot          | bagalkot           | urdu crc east             |2181| GOVT LPS MUCHAKHANDI CROSS BGK                             |29020211113
 bagalkot          | bagalkot           | urdu crc east             |2198| GOVT UB LPS TIMMAPUR                                       | 
 bagalkot          | bilagi             | kundargi                  |2223| KBLPS NOORAPPANAVAR TOTA                                   | 
 bagalkot          | bilagi             | kundargi                  |2235| LPS BABAKHAN TOTA SHIRAGUPPI                               | 
 bagalkot          | bilagi             | sunag                     |2247| GOVT KGS HERAKAL                                           | 
 bagalkot          | bilagi             | sunag                     |2258| GOVT LPS TOLAMATTI TOTA 2                                  |29020606103
 bagalkot          | bilagi             | sunag                     |2246| GOVT UBLPS HERKAL                                          |29020603102
 bagalkot          | bilagi             | sunag                     |30276| GOVT URDU LPS MURNAL RC                                    | 
 bagalkot          | bilagi             | teggi                     |2285| GOVT HPS BUDIHAL SG                                        | 
 bagalkot          | bilagi             | teggi                     |2282| GOVT UBLPS BADAGI                                          | 
 bagalkot          | bilagi             | yadahalli                 |2311| BASAVESHWAR PRY.SCH.GALAGALI                               |29020601909
 bagalkot          | hunagund           | dhannur                   |2381| GOVT KGLPS IDDALAGI                                        | 
 bagalkot          | hunagund           | hungund                   |2400| GOVT LPS DPEP, NAVANAGAR HUN                               | 
 bagalkot          | hunagund           | ilkal (urdu crc)          |2567| GOVT KBLPS 3 ILKAL                                         | 
 bagalkot          | hunagund           | ilkal (urdu crc)          |2585| GOVT UBLPS K SANGAM                                        |29020204003
