       district       |     block_name     |            cluster_name            |           village_name           | pincode | school_code |                       school_name                        
 BAGALKOT             | BADAMI             | BADAMI                             | BADAMI WARD NO.2                 |587201|29020115206| ADARSHY VIDYALAY RMSA BADAMI
 BAGALKOT             | BADAMI             | BADAMI                             | BADAMI WARD NO.6                 |587201|29020115607| GOVT LPS KANTI VEERANNA A.C. BADAMI
 BAGALKOT             | BADAMI             | GULEDAGUDDA (W)                    | GULEDGUDD (T.M.C)                |587203|29020114740| GOVT LPS TIPPAPETH GULEDGUDD
 BAGALKOT             | BADAMI             | HALIGERI                           | NEERALAKERI                      |587206|29020112002| GOVT LPS NEERALAKERI TOTA 1
 BAGALKOT             | BADAMI             | HALIGERI                           | RADDERTIMMAPUR                   |587206|29020112604| GOVT LPS RADDERTIMMAPUR
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | KULAGERI                         |587155|29020109312| GOVT LPS A.C. KULAGERI
 BAGALKOT             | BADAMI             | NANDIKESWARA                       | MANGALAGUDDA                     |587201|29020110201| GOVT LPS MANGALAGUDD PLOT
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | KARADIGUDDA  SA                  |587206|29020107502| GOVT LPS KARADIGUDD SA TOTA
 BAGALKOT             | BAGALKOT           | GULABAL                            | HIREHODLUR                       |587111|29020203402| GOVT LPS HOLDUR TOTA
 BAGALKOT             | BAGALKOT           | KADAMPUR                           | KADAMPUR                         |587103|29020204604| GOVTHPS SA -SIN- SA R.C.
 BAGALKOT             | BAGALKOT           | KADAMPUR                           | KADAMPUR                         |587111|29020204607| KASTUR BA SCHOOL NAVANAGAR
 BAGALKOT             | BAGALKOT           | KBS GADDANKERI                     | KESHANUR                         |587103|29020204902| GOVT HPS KESANUR TOTA
 BAGALKOT             | BAGALKOT           | KBS GADDANKERI                     | VEERAPUR                         |587103|29020208802| GOVT. HPS VEERAPUR RC
 BAGALKOT             | BAGALKOT           | KBS KALADAGI                       | KALADGI                          |587204|29020204714| GOVT LPS NAVAGRAM KALADAGI
 BAGALKOT             | BAGALKOT           | KBS KALADAGI                       | UDAGATTI                         |587204|29020208702| GOVT LPS UDAGATTI CROSS
 BAGALKOT             | BAGALKOT           | LEGISLATURE M SCHOOL NO4           | BAGALKOT WARD NO.3               |587101|29020210401| LPS NO-21 HALEPETH BAGALKOT
 BAGALKOT             | BAGALKOT           | MUGALOLLI                          | BENAKATTI                        |587111|29020200706| GOVT LPS BENAKATTI TOTA
 BAGALKOT             | BAGALKOT           | MUGALOLLI                          | HONNAKATTI                       |587111|29020204003| GOVT LPS SANGAM CROSS TOTA
 BAGALKOT             | BAGALKOT           | NAVANAGER                          | BAGALKOT WARD NO,23              |587103|29020212403| GOVT LPS NO22 SEC.57 NAVANAGAR
 BAGALKOT             | BAGALKOT           | TULSIGIRI                          | HIRESANSHI                       |587204|29020203503| GOVT LPS SANSHI CROSS
 BAGALKOT             | BAGALKOT           | TULSIGIRI                          | KALASKOPPA                       |587204|29020204802| GOVT LPS KALASAKOPPA JP
 BAGALKOT             | BAGALKOT           | URDU CRC EAST                      | BAGALKOT WARD NO.10              |587101|29020211113| GOVT UBLPS MUCHAKHANDI CROSS BGK
 BAGALKOT             | BAGALKOT           | URDU WEST                          | BAGALKOT WARD NO.28              |587102|29020213004| GOVT UBHPS NO.10 NAVANAGAR
 BAGALKOT             | BAGALKOT           | VIDYAGIRI                          | BAGALKOT WARD NO.22              |587103|29020212310| ADARSH VIDYALAY RMSA SCHOOL NAVANAGER BAGALKOT
 BAGALKOT             | BAGALKOT           | YADAHALLI-(BGK)                    | GADDANAKERI                      |587102|29020202903| GOVT HPS ANADINNI CROSS (AC
 BAGALKOT             | BAGALKOT           | YADAHALLI-(BGK)                    | SOKANADAGI                       |587204|29020208102| GOVT HPS SOKANADAGI TOTA
 BAGALKOT             | BILAGI             | ANAGWADI                           | BUDIHAL (SA)                     |587116|29020601405| GOVT LPS BUDIHAL SA TOTA
 BAGALKOT             | BILAGI             | ANAGWADI                           | KOVALLI                          |587116|29020604302| GOVT LPS KOVALLI P.K
 BAGALKOT             | BILAGI             | BILAGI                             | BILAGI WARD NO.2                 |587116|29020608012| ADARSH VIDYALAY R.M.S.A BILAGI
 BAGALKOT             | BILAGI             | GALAGALI                           | MUNDAGANUR                       |587301|29020604902| GOVT LPS MUNDAGANUR P.K.
 BAGALKOT             | BILAGI             | KANDAGAL                           | KANDAGAL                         |587116|29020603603| GOVT LPS CHICKSANGAM
 BAGALKOT             | BILAGI             | KUNDARGI                           | BAVALATTI                        |587116|29020600902| GOVT LPS ARADDI TOTA BAVALATTI
 BAGALKOT             | BILAGI             | SUNAG                              | HEGGUR                           |587116|29020603003| KGBV SCHOOL BILAGI CROSS HEGUR
 BAGALKOT             | BILAGI             | TEGGI                              | BALLUR                           |587117|29020600802| LPS KRISHNA BALLUR
