dist|blck|clst|village|pin|dise|name|dist|blck|clst|klpid|name|dise
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | ANAWAL                           |587206|29020100701| GOVT HPS ANAWAL| bagalkot          | badami             | neerabudhihal             |1801| GOVT HPS ANAWAL                                            |29020100701
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | ANAWAL                           |587206|29020100702| GOVT KGS ANAWAL| bagalkot          | badami             | neerabudhihal             |1803| GOVT KGS ANAWAL                                            |29020100702
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | GANGANA BUDIHAL                  |587206|29020103001| GOVT HPS GANGANABUDIHAL| bagalkot          | badami             | neerabudhihal             |1804| GOVT HPS GANGANABUDIHAL                                    |29020103001
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | JALAGERI                         |587206|29020106101| GOVT HPS JALAGERI| bagalkot          | badami             | neerabudhihal             |1806| GOVT HPS JALAGERI                                          |29020106101
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | JALAGERI                         |587206|29020106103| GOVT LPS JALAGERI LT 2| bagalkot          | badami             | neerabudhihal             |1808| GOVT LPS JALAGERI LT 2                                     |29020106103
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | KADARKOPPA                       |587122|29020106701| GOVT HPS KADARKOPPA| bagalkot          | badami             | neerabudhihal             |1810| GOVT HPS KADARKOPPA                                        |29020106701
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | KALABANDKERI                     |587206|29020107201| GOVT HPS KALABANDAKERI| bagalkot          | badami             | neerabudhihal             |1811| GOVT HPS KALABANDAKERI                                     |29020107201
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | KARADIGUDDA  SA                  |587206|29020107501| GOVT HPS KARADIGUDD SA| bagalkot          | badami             | neerabudhihal             |1812| GOVT HPS KARADIGUDD SA                                     |29020107501
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | NEERABUDIHAL                     |587206|29020112101| GOVT MPS NEERABUDIHAL| bagalkot          | badami             | neerabudhihal             |1813| GOVT MPS NEERABUDIHAL                                      |29020112101
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | YENDIGERI                        |587206|29020114301| GOVT HPS YENDIGERI| bagalkot          | badami             | neerabudhihal             |1814| GOVT HPS YENDIGERI                                         |29020114301
 BAGALKOT             | BADAMI             | NEERABUDHIHAL                      | YENDIGERI                        |587206|29020114303| GOVT LPS YANDIGERI TOTA| bagalkot          | badami             | neerabudhihal             |1816| GOVT LPS YANDIGERI TOTA                                    |29020114303
 BAGALKOT             | BADAMI             | KAGALGOMBA                         | AGASARKOPPA                      |587206|29020100201| GOVT HPS AGASRAKOPPA| bagalkot          | badami             | kagalgomba                |1817| GOVT HPS AGASRAKOPPA                                       |29020100201
 BAGALKOT             | BADAMI             | KAGALGOMBA                         | BANDAKERI                        |587206|29020101201| GOVT HPS BANDAKERI| bagalkot          | badami             | kagalgomba                |1818| GOVT HPS BANDAKERI                                         |29020101201
 BAGALKOT             | BADAMI             | KAGALGOMBA                         | HOOLAGERI                        |587206|29020105301| GOVT HPS HOOLAGERI| bagalkot          | badami             | kagalgomba                |1819| GOVT HPS HOOLAGERI                                         |29020105301
 BAGALKOT             | BADAMI             | KAGALGOMBA                         | HOOLAGERI                        |587206|29020105303| GOVT KBLPS HOOLAGERI| bagalkot          | badami             | kagalgomba                |1820| GOVT KBLPS HOOLAGERI                                       |29020105303
 BAGALKOT             | BADAMI             | KAGALGOMBA                         | KAGALGOMB                        |587205|29020106801| GOVT HPS KAGALAGOMB| bagalkot          | badami             | kagalgomba                |1821| GOVT HPS KAGALAGOMB                                        |29020106801
