     district      |       block        |          cluster          | klpid |                        institution                         
 mysore            | mysore north       | hebbal                    | 37794 | ANNYAPPA SMARAKA VIDYALYA HPS 
 dharwad           | kalghatagi         | ganjigatti                | 37267 | HPS Naganur
 bagalkot          | mudhol             | mahalingapur mps          |  3023 | UBLPS KENGERI MADDI MAHALINGAP
 bangalore u south | south-1            | kengeri                   | 32425 | GKLPS CHENNAVEERANA PALYA
 bagalkot          | mudhol             | mahalingapur mps          |  3027 | GOVT UBLPS NAGARAL
 bagalkot          | mudhol             | mahalingapur mps          |  3025 | GOVT UBLPS MARAPUR new)
 bagalkot          | mudhol             | mahalingapur mps          |  3024 | GOVT LPS MAMADAPUR TOTA
 bagalkot          | mudhol             | mahalingapur mps          |  3018 | LPS PARAMANAND NAGAR, BELAGALI
 bangalore u south | south-1            | kengeri                   | 32423 | GKLPS VARAHASANDRA
 bangalore u south | south-1            | kengeri                   | 32428 | GKLPS HEMMIGEPURA
 bijapur           | basavan  bagewadi  | golasangi                 | 27753 | KBLPS MUTTAGI N.H.13 EXTN
 chitradurga       | chitradurga        | madakaripura              | 31074 | GHPS THOPURA MALEGE
 kolar             | mulbagal           | uthanur                   | 18229 | GHPS POMBARAHALLI
 chamarajanagara   | kollegala          | kamagere                  |  6826 | GHPS IKKADAHALLI
 bellary           | hadagali           | holalu                    |  3225 | GHPS  DASANA HALLI
 bellary           | hadagali           | holalu                    |  3235 | GHPS K.VEERAPURA
 bellary           | hadagali           | ittigi                    |  3249 | GHPS ADAVIMALLANAKERI THANDA
 bellary           | hadagali           | mylara                    |  3233 | GMHPS HYARADA
 bellary           | hospet             | papinayakana hall         |  3599 | GHPS BYLUVADHIGIRI
 bellary           | hospet             | papinayakana hall         |  3600 | GHPS BUVANA HALLI
 bellary           | hospet             | papinayakana hall         |  3607 | GHPS KAKUBAL
 bellary           | hospet             | papinayakana hall         |  3610 | GHPS PAPINAYAKANAHALLI
 bidar             | aurad              | ch dapka                  |  4631 | GLPS.KHEMA THANDA  CHIKLI(U)
 bidar             | aurad              | ch dapka                  |  4634 | G LPS. TEJA NAIK THANDA (GANGA
 bidar             | aurad              | ch dapka                  |  4635 | GOVT HPS GANESHPUR (U)
 bidar             | aurad              | mudhol (b)                |  4621 | GOVT LPS LINGDALLI (U)
 bidar             | aurad              | sundal                    |  4604 | GOVT LPS JAKANAL
 bidar             | aurad              | sundal                    |  4607 | GOVT LPS MAMDAPUR
 bidar             | aurad              | sundal                    |  4612 | GOVT LPS TEGAMPUR
 bidar             | aurad              | torna                     |  4625 | GOVT LPS TORANA WADI
 bidar             | aurad              | wadgaon                   |  4614 | GLPS. WADENBANG THANDA
 gulbarga          | chittapur          | kodadoor                  | 14291 | GLPS BUDDH NAGAR KODADUR
 bijapur           | sindagi            | balaganur                 | 28976 | GOVT HPS SURAGIHALLI
 bijapur           | sindagi            | moratagi urdu             | 29044 | GOVT UBHPS MADABAL
 dharwad           | navalgund          | arekurahatti              | 37668 | HPS KARLAWAD
 chamarajanagara   | gundlupet          | bommalapura               |  6707 | GHPS BEEGHANA HALLI
 bagalkot          | badami             | badami                    |  1930 | GOVT LPS APMC YARD JAYA NAGAR BADAMI
 bagalkot          | mudhol             | lokapur                   |  2857 | GOVT KGHS LOKAPUR
 chamarajanagara   | gundlupet          | hangala                   |  6790 | GHPS DEVARA HALLI
 chamarajanagara   | chamaraja nagar    | harave                    |  6408 | GHPS KILALIPURA
 bagalkot          | jamakhandi         | rampur                    |  2650 | GOVT LPS KOLACHE PRADESH
 chitradurga       | challakere         | ramajogihalli             | 30706 | GLPS KEREMANDALA HATTI
 bagalkot          | mudhol             | mahalingapur mps          |  3017 | LPS SIMEHALLA TOTA, BELAGALI
 bagalkot          | mudhol             | mahalingapur mps          |  3014 | LPS KHAJINAL ULLAGDDI TO DHAVLESHWA
 bagalkot          | mudhol             | mahalingapur mps          |  3013 | GOVT LPS MORBAD TOTA
 chamarajanagara   | gundlupet          | hangala                   |  6783 | GHPS HANGALA
 chamarajanagara   | gundlupet          | chikkathuppuru            |  6638 | GHPS DODDATHUPPUR
 chamarajanagara   | chamaraja nagar    | haradana halli            |  6437 | GHPS BYADAMUDLU
 chitradurga       | hiriyur            | gowdanahalli              | 12741 | HPS KEREKODIHATTI
 chamarajanagara   | gundlupet          | bommalapura               |  6701 | GHPS BACHALLI
 chamarajanagara   | gundlupet          | baragi                    |  6700 | GHPS HONNASHETTARAHUNDI
 chamarajanagara   | gundlupet          | hangala                   |  6791 | GHPS HONNE GOWDANA HALLI
 chamarajanagara   | chamaraja nagar    | udigala                   |  6425 | GHPS UDIGALA
 chamarajanagara   | chamaraja nagar    | harave                    |  6410 | GHPS KULAGANA
 bagalkot          | jamakhandi         | hulyal                    |  2845 | GOVT KB HPS SIDDAPUR
 bagalkot          | jamakhandi         | hulyal                    |  2830 | GOVT HPS HUNASHIKATTI
 bagalkot          | badami             | hebballi                  |  1898 | GOVT HPS BUDIHAL SJ
 bagalkot          | badami             | kulageri cross            |  1896 | GOVT HPS TIMMAPUR S N
 bagalkot          | badami             | kulageri cross            |  1894 | GOVT HPS SOMANAKOPPA
 bagalkot          | badami             | kulageri cross            |  1883 | GOVT HPS CHIRALKOPPA
 bagalkot          | badami             | kulageri cross            |  1878 | GOVT HPS BANKANERI
 bagalkot          | jamakhandi         | hulyal                    |  2836 | GOVT HPS KONNUR TOTA NO-2
 chamarajanagara   | hanur              | m.m.hills                 |  7084 | GHPS GOPINATHAM
 bagalkot          | jamakhandi         | savalagi                  |  2766 | GOVT HPS JAMBAGI K D
 chamarajanagara   | gundlupet          | bommalapura               |  6705 | GHPS ANKAHALLI
 chikkaballapura   | gowribidanur       | vatada hosahalli          | 11162 | GHPS M GOLLAHALLI
 bellary           | hagaribommanahalli | kogali                    |  3416 | GMHPS KOGALI
 bellary           | hagaribommanahalli | morigeri                  |  3444 | GULPS MALVI
 bellary           | kudligi            | k.iyana halli             |  3889 | GMHPS K.A. HALLI
 bellary           | kudligi            | m.b. iyyana halli         |  3907 | GLPS     ULLANA HALLI
 bellary           | sandur             | bandri                    |  3981 | GHPS  C.K.HALLI
 bellary           | sandur             | bhujanga nagar            |  3998 | GMHPS BHUJANGA NAGARA
 bellary           | sandur             | metriki                   |  4090 | GHPS UBBALAGUNDI
 bellary           | sandur             | tharanagara               |  3963 | GHPS THALURU
 bellary           | sandur             | tharanagara               |  3969 | HPS VADDU
 bellary           | sandur             | vittalapura               |  4092 | GHPS  M GANGALAPURA
 bellary           | siruguppa          | hatcholli                 |  4192 | GHPS S.W.S. HATCHOLLI
 bidar             | basavakalyan       | chandikapur               |  4845 | GOVT LPS PARTAPUR THANDA
 bidar             | basavakalyan       | ladwanthi                 |  4877 | GOVT LPS GADLEGAON (K) THANDA
 gulbarga          | afzalpur           | station gangapur          | 30565 | GOVT LPS V.K.G KOGANOOR
 gulbarga          | chincholi          | chimmaidalai              | 29930 | GOVT HPS HUDADALLI
 koppal            | gangavathi         | navali                    | 29941 | GHPS URDU NAVALI
 raichur           | devadurga          | devadurga south           | 30173 | GLPS KELAGIN KURLERADODDI
 bagalkot          | jamakhandi         | banahatti west            |  2652 | GLPS DARUR VASATI ASANGI
 bagalkot          | jamakhandi         | banahatti west            |  2660 | GOVT LPS BANAHATTI TOTA
 bagalkot          | jamakhandi         | urdu rabakavi             |  2655 | GOVT URDU LPS ASANGI
 bagalkot          | jamakhandi         | kunchanur                 |  2824 | GOVT HPS CHINAGUNDI
 bagalkot          | jamakhandi         | jamakhandi west           |  2813 | HPS RUDRASWAMY PETH, JAMAKHANDI
 kolar             | malur              | dinnahalli                | 17728 | GLPS BYPANAHALLI
 chamarajanagara   | kollegala          | kothanur                  |  6820 | GHPS DODDINDUVADI
 chikkaballapura   | sidlaghatta        | palicherlu                | 29940 | GLPS JODI KACHAHALLI
 chitradurga       | hosadurga          | belaguru                  | 30038 | GHPS KABBAL (BELGURU)
 bagalkot          | jamakhandi         | rampur                    |  2646 | GOVT KBLPS KANATTI TOTA
 bagalkot          | jamakhandi         | rampur                    |  2642 | GOVT LPS SHANTI NAGAR HOSUR
 bagalkot          | badami             | hebballi                  |  1913 | GOVT LPS MUMARADDIKOPPA
 bagalkot          | badami             | hebballi                  |  1911 | GOVT LPS MALLAPUR SL
 bagalkot          | jamakhandi         | rampur                    |  2644 | GOVT LPS JAGADAL K TOTA
 bagalkot          | jamakhandi         | savalagi                  |  2768 | GOVT LPS KANNOLLI TOTA
 chamarajanagara   | gundlupet          | agathagowdanahalli        |  6809 | GLPS SHETTAHALLI
 bijapur           | muddebihal         | kodaganur                 | 28766 | GOVT KBHPS TUMBAGI
 bagalkot          | badami             | kotikal                   |  1986 | GOVT HPS TOGANSHI
 bijapur           | muddebihal         | kodaganur                 | 28761 | GOVT HPS LAKKUNDI
 chamarajanagara   | hanur              | shyagyam                  |  7110 | GHPS M.T.DODDI
 bagalkot          | hunagund           | ilkal (urdu crc)          | 30283 | KBLPS KEB Ilkal
 bagalkot          | badami             | badami                    |  1933 | GLPS MUTTALAGERI
 bellary           | hagaribommanahalli | dashamapura               |  3397 | GLPS    METRI
 bellary           | hagaribommanahalli | h.b. halli                |  3386 | GHPS    CHIKKA SOBATI
 bellary           | hagaribommanahalli | h.b. halli                |  3390 | GULPS   H.B.HALLI
 bellary           | hagaribommanahalli | nandipura                 |  3382 | GLPS    HOSA MUTAKANA HALLI
 bellary           | hagaribommanahalli | thambra halli             |  3475 | GLPS   EAST BLOCK
 bellary           | hospet             | 15th ward hospet          |  3481 | GLPS KANAVIRAYANA GUDI RAJAPUR
 bellary           | hospet             | deva samudra              |  3598 | GLPS HIREJAIGANUR
 bellary           | hospet             | kariganur                 |  3605 | GHPS     NAGAPPA CAMP
 bellary           | hospet             | kariganur                 |  3606 | GLPS S.S.MINES HPT
 bellary           | hospet             | malapana gudi             |  3571 | GHPS KADDIRAMPURA
 bellary           | hospet             | papinayakana hall         |  3609 | GLPS BRH MINES(DALMIYA NAGARA   P K HALLI)
 bellary           | hospet             | papinayakana hall         |  3613 | GULPS PAPINAYAKAN HALLI
 bellary           | kudligi            | chiribi                   |  3896 | GHPS    GANGAMMANA HALLI
 bellary           | kudligi            | chowdapura                |  3944 | GHPS AMALAPURA
 bellary           | kudligi            | chowdapura                |  3772 | GHPS    MORABANA HALLI
 bellary           | kudligi            | k.iyana halli             |  3891 | GLPS   RAMA NAYAKANA HALLI
 bellary           | kudligi            | mahadevapura              |  3943 | GHPS   SIDEGALLU
 bellary           | siruguppa          | siruguppa 5th ward        |  4116 | GLPS S.S.F. DESANUR
 bidar             | bhalki             | kanaji                    |  5055 | GOVT. LPS NELGI CROSS
 gulbarga          | afzalpur           | station gangapur          | 29931 | GOVT LPS NILOOR TANDA
 gulbarga          | aland              | narona                    | 30045 | GOVT HPS KARAHARI
 gulbarga          | chittapur          | kalagi urdu               | 14258 | GOVT HPS URDU GUNDAGURTHI
 bagalkot          | jamakhandi         | urdu savalagi             |  2772 | GOVT UB LPS SAVALAGI
 bagalkot          | jamakhandi         | jamakhandi west           |  2815 | KBLPS MAHANTESH NAGAR, JMK
 chitradurga       | hosadurga          | hosdurga town             | 31178 | GHPS D.K.KATTE
 chitradurga       | hosadurga          | hosdurga town             | 31175 | HPS MAHALAXMIPURA
 bagalkot          | jamakhandi         | rampur                    |  2649 | GOVT KBLPS YARAGATTI TOTA
 chamarajanagara   | chamaraja nagar    | chandaka vadi             |  6503 | GHPS DADADA HALLI
 bijapur           | basavan  bagewadi  | ingaleshwar               | 30166 | GLPS SHIVANAND NAGAR
 kolar             | kolar              | vemgal                    | 30035 | G.L.P.S. KURUBARHALLI
 mysore            | mysore north       | urdu central              | 33507 | GULPS SRI NAGAR
 bagalkot          | badami             | neerabudhihal             |  1808 | GOVT LPS JALAGERI LT 2
 chitradurga       | challakere         | devareddihalli            | 29935 | GLPS BANAVIGONDANAHALLI
 chamarajanagara   | hanur              | kuduluru                  | 30201 | GLPS ANCHIPALYA
 bangalore u north | north-4            | kakolu                    | 32583 | GKLPS KAKKEHALLI
 bijapur           | sindagi            | yankanchi                 | 28993 | GOVT HPS MURADI
 chikkaballapura   | bagepally          | somanathapura             | 30161 | GULPS CHEEMANAGAPALLI
 bangalore u south | south-4            | kyalasana halli           | 32600 | GKLPS CHIKKAGUBBI
 chitradurga       | hiriyur            | dharmapura                | 31170 | HPS SAKKARA
 mysore            | hunsur             | rathnapuri colony         | 33470 | GKLPS DODDAKOPPALU
 bellary           | hadagali           | ittigi                    |  3259 | GLPS THEERTHARAMESHWARA UTTANGI PLAT
 bellary           | kudligi            | chiribi                   |  3828 | GHPS    THUPPAKANA HALLI
 bellary           | kudligi            | gajapura                  |  3831 | GLPS  THIMMALAPURA NEW THANDA
 bellary           | kudligi            | hudem                     |  3850 | GLPS    HOSURU
 bellary           | kudligi            | hudem                     |  3851 | GHPS      K.B.K HATTI
 bellary           | kudligi            | kulumehatti               |  3836 | GULPS KULUMEHATTI
 bellary           | kudligi            | kulumehatti               |  3840 | GLPS    MALE HALLI
 bellary           | kudligi            | kulumehatti               |  3843 | GLPS    POOJARA HALLI THANDA
 bellary           | kudligi            | nagarakatte               |  3678 | GHPS JOLADHA KUDLIGI
 bellary           | siruguppa          | siruguppa 5th ward        |  4113 | GLPS    B.B. CAMP
 bellary           | siruguppa          | siruguppa 5th ward        |  4118 | GLPS    VINAYAKA NAGAR CAMP
 bellary           | siruguppa          | siruguppa 5th ward        |  4120 | GULPS IBRAIMPURA
 bidar             | aurad              | ch dapka                  |  4514 | GLPS. KISHAN NAIK THANDA  DAPA
 bidar             | aurad              | gudapalli                 |  4518 | GOVT LPS.BADUNAYAK THANDA
 bidar             | aurad              | gudapalli                 |  4512 | GOVT LPS GUDPALLI THANDA
 bidar             | aurad              | jamagi                    |  4544 | GOVT LPS MANIK THANDA
 bidar             | aurad              | jamagi                    |  4534 | GLPS.POMADEVLA THANDA
 bidar             | aurad              | jamagi                    |  4538 | GOVT LPS KARVAR THANDA
 bidar             | aurad              | wadgaon                   |  4525 | GLPS. MAHARAJ WADI THANDA
 bidar             | aurad              | wadgaon                   |  4539 | GOVT LPS SHANKER THANDA
 bidar             | aurad              | wadgaon                   |  4541 | GOVT LPS BARGYAN THANDA
 bidar             | bhalki             | halbarga (urdu)           |  5046 | GOVT. HPS URDU MAROOR
 gulbarga          | aland              | kadaganchi                | 29837 | GLPS BHIMANGAR KADAGANCHI
 gulbarga          | chittapur          | halakatta                 | 30115 | GOVT HPS KULAKUNDA
 gulbarga          | jewargi            | aloor                     | 30168 | GOVT LPS URDU ALUR
 raichur           | devadurga          | h siddapur                | 29854 | GLPS AMARAYANNADODDI
 raichur           | devadurga          | mustur                    | 29845 | GLPS GALGINAVARA DODDI
 chitradurga       | challakere         | mallurahalli              | 29960 | GHPS OBAYYANHTTI
 chamarajanagara   | gundlupet          | baragi                    |  6695 | GLPS-1 MUKA HALLI COLONY
 chitradurga       | chitradurga        | chikkabennur              | 31150 | GKHPS GOWRAMMANAHALLI
 chikkaballapura   | bagepally          | yeragudi                  | 30163 | GLPS JANGALAPALLI THANDA
 bagalkot          | bagalkot           | urdu crc east             |  2198 | GOVT UB LPS TIMMAPUR
 chamarajanagara   | kollegala          | kamagere                  | 30033 | G.L.P.S. LAKKSANHALLI
 bagalkot          | badami             | guledagudda(e)            |  2001 | GULEDGUDD TANDA
 chitradurga       | hiriyur            | gowdanahalli              | 31183 | LPS BHOTHANAHATTI
 bangalore u north | north-4            | kakolu                    | 32582 | GKLPS KADATHANAMALE
 bagalkot          | bagalkot           | urdu crc east             |  2188 | GOVT UBLPS CHICKMYAGERI
 bagalkot          | hunagund           | ilkal (urdu crc)          |  2581 | GOVT UBLPS KRISHANAPUR
 bagalkot          | hunagund           | ilkal (urdu crc)          |  2580 | GOVT UBLPS KODIHAL
 chamarajanagara   | chamaraja nagar    | arakala vadi              | 31096 | GLPS MUDALA HOSAHALLI
 chamarajanagara   | chamaraja nagar    | santhe marahalli          |  6586 | GHPS KAVUDAVADI
