     district      |      block      |         cluster          | klpid |                 name                 
 bangalore u south | south-1         | kengeri                  |32425| GKLPS CHENNAVEERANA PALYA
 chitradurga       | challakere      | ramajogihalli            |30706| GLPS KEREMANDALA HATTI
 bangalore u north | north-4         | kakolu                   |32582| GKLPS KADATHANAMALE
 ramanagara        | magadi          | kuduru                   |34520| G LPS BASAVANAGUDIPALYA
 bangalore u north | north-3         | k.b.sandra               |33153| GTLPS ASHOK NAGAR
 mysore            | mysore south    | ashokapuram              |32984| GHS RAILWAY WORKSHOP
 bangalore u south | south-2         | kalasipalya              |32440| GTKLPS ANJANAPPA GARDEN
 mysore            | mysore north    | n.r mohalla              |33010| G.H.P.S Medarblock
 ramanagara        | kanakapura      | herindyapanahalli        |31829| GKLPS NAYAKARADODDI
 ramanagara        | channapatna     | dashavara                |34668| G LPS KOTE HOLADADODDI
 bangalore u north | north-4         | rajankunte               |32780| GKLPS T. AGRAHARA
 bangalore u south | south-3         | ejipura                  |32261| GKLPS LR NAGARA
 ramanagara        | kanakapura      | dodda muduvadi           |31765| GULPS KARIMKANDODDI
 bangalore u south | anekal          | mugalur                  |33380| GKLPS NEKKUNDI BADAVANE
 bangalore u north | north-4         | yelehanka old town       |32940| GKMPS BANGALE
 mysore            | mysore north    | horse lane, jyothi nagar |33499| GHPS SATYA NAGAR
 mysore            | mysore north    | urdu central             |33474| GUHPS MEDAR BLOCK
 mysore            | mysore south    | ashokapuram              |33524| GHPS KUDUREMALA
 bangalore u north | north-2         | malleshwaram             |33164| GKHPS BHARATIYA VIDYA MANDIR
 bangalore u south | south-2         | govindaraja nagara       |33086| GUHPS HOSAHALLI
 bagalkot          | hunagund        | sulibhavi                |2516| GOVT UBHPS SULEBHAVI
 bijapur           | sindagi         | sindagi(urdu)            |30048| GUHPS DEVANAGANVA
 bagalkot          | bagalkot        | shirur                   |30242| UBS NO 9 Navanagar
 chitradurga       | hosadurga       | belaguru                 |13371| GULPS BELAGURU
 bangalore u north | north-2         | sheshadripuram           |33181| GKLPS POLICE COLONY
