district|block|cluster|klpid|schoolname|disecode
 bagalkot          | bagalkot           | kbs gaddankeri            |2087| GOVT LPS DEVANAL DOREGOL TOTA new)                         | 
 bagalkot          | bagalkot           | kbs gaddankeri            |2095| GOVTHPS NAKARAGUNDI R.C.                                   | 
 bagalkot          | bagalkot           | kbs kaladagi              |2120| LPS TOTADA SCHOOL SOKANADAGI                               | 
 bagalkot          | bagalkot           | urdu crc east             |2181| GOVT LPS MUCHAKHANDI CROSS BGK                             |29020211113
 bagalkot          | bagalkot           | urdu crc east             |2198| GOVT UB LPS TIMMAPUR                                       | 
 bagalkot          | bilagi             | kundargi                  |2223| KBLPS NOORAPPANAVAR TOTA                                   | 
 bagalkot          | bilagi             | kundargi                  |2235| LPS BABAKHAN TOTA SHIRAGUPPI                               | 
 bagalkot          | bilagi             | sunag                     |2246| GOVT UBLPS HERKAL                                          |29020603102
 bagalkot          | bilagi             | sunag                     |2247| GOVT KGS HERAKAL                                           | 
 bagalkot          | bilagi             | sunag                     |2258| GOVT LPS TOLAMATTI TOTA 2                                  |29020606103
 bagalkot          | bilagi             | teggi                     |2282| GOVT UBLPS BADAGI                                          | 
 bagalkot          | bilagi             | teggi                     |2285| GOVT HPS BUDIHAL SG                                        | 
 bagalkot          | bilagi             | yadahalli                 |2311| BASAVESHWAR PRY.SCH.GALAGALI                               |29020601909
 bagalkot          | hunagund           | dhannur                   |2381| GOVT KGLPS IDDALAGI                                        | 
 bagalkot          | hunagund           | hungund                   |2400| GOVT LPS DPEP, NAVANAGAR HUN                               | 
 bagalkot          | hunagund           | ilkal (urdu crc)          |2567| GOVT KBLPS 3 ILKAL                                         | 
 bagalkot          | hunagund           | ilkal (urdu crc)          |2574| UBHPS N0.3 ILKAL                                           | 
 bagalkot          | hunagund           | ilkal (urdu crc)          |2585| GOVT UBLPS K SANGAM                                        |29020204003
 bagalkot          | jamakhandi         | rabakavi                  |2589| GOVT LPS 2 HALINGALI                                       | 
 bagalkot          | jamakhandi         | rabakavi                  |2593| KBLPS HANAGANDI                                            | 
 bagalkot          | jamakhandi         | rampur                    |2648| GOVT HPS YARAGATTI                                         | 
 bagalkot          | jamakhandi         | rampur                    |2649| GOVT KBLPS YARAGATTI TOTA                                  | 
 bagalkot          | jamakhandi         | hunnur                    |2686| GOVT KG HPS HUNNUR                                         | 
 bagalkot          | jamakhandi         | hulyal                    |2832| GOVT HPS MAREGUDDI                                         | 
 bagalkot          | mudhol             | lokapur                   |2863| LPS GUJARI TOTA, DADANATTI                                 | 
 bagalkot          | mudhol             | mudhol rm school          |2876| GOVT MARATHI BOYS HPS MUDHOL                               | 
 bagalkot          | mudhol             | mudhol rm school          |2884| GOVT HPS BALLUR R.C                                        | 
 bagalkot          | mudhol             | urdu mudhol               |2902| UBLPS MUDHOL                                               | 
 bagalkot          | mudhol             | yadahalli ingalagi        |2924| GOVT.LPS SONNAD.MACHAKANUR new)                            | 
 bagalkot          | mudhol             | yadahalli ingalagi        |2931| GOVT LPS ANANDPABU ASRAM YADAH                             | 
 bagalkot          | mudhol             | surgaon                   |2953| GOVT UBLPS SHIROL                                          | 
 bagalkot          | mudhol             | surgaon                   |2957| KADASIDDESHWAR HPS SHIROL                                  |29021107006
 bagalkot          | mudhol             | mahalingapur kgs          |2980| GOVT UBLPS MADABHAVI                                       |29021104503
 bagalkot          | mudhol             | mahalingapur kgs          |2986| KBLPS T SCHOOL MARAPUR                                     | 
 bagalkot          | mudhol             | mahalingapur kgs          |2990| GOVT UBLPS GADADAGALLI MAHALINGAPUR                        | 
 bagalkot          | mudhol             | mahalingapur mps          |3002| GOVT LPS BELAGALI K TOTA                                   | 
 bagalkot          | mudhol             | mahalingapur mps          |3005| GOVT UBS BELAGALI                                          | 
 bagalkot          | mudhol             | mahalingapur mps          |3009| GOVT HPS SIDDAPUR TOTA 2                                   | 
 bagalkot          | mudhol             | mahalingapur mps          |3022| LPS KENGERI MADDI MAHALINGAPUR                             |29021113102
 bagalkot          | mudhol             | mahalingapur mps          |3023| UBLPS KENGERI MADDI MAHALINGAP                             | 
 bagalkot          | mudhol             | hebbal                    |3043| GOVT GIRLS NAVODAYA PRI.SCH. HEBBAL                        |29021102705
 bellary           | kudligi            | gachinamatt kottur        |3813| GULPS KOTTUR                                               |29120605005
 bellary           | sandur             | chornur                   |4036| GUHPS CHORANOOR                                            |29120701801
 bidar             | bhalki             | mehakar                   |5082| GOVT. HPS MAR. BOLEGAON                                    | 
 chamrajnagar      | chamaraja nagar    | badanaguppe               |6374| GLPS SANNEGOWADANAHUNDI                                    |29270106403
 chamrajnagar      | chamaraja nagar    | udigala                   |6431| GHPS MADHALAVADI                                           |29270110801
 chamrajnagar      | chamaraja nagar    | udigala                   |6433| GHPS KILAGERE                                              |29270111201
 chamrajnagar      | chamaraja nagar    | ummatturu                 |6555| GHPS GANAGANUR                                             |29270115601
 chamrajnagar      | chamaraja nagar    | chamarajanagar - i        |6623|  GHPS URDU COMPELSARY                                      |29270102302
 chamrajnagar      | gundlupet          | bheemanabeedu             |6631| GHPS MALLAYANPURA                                          | 
 chamrajnagar      | gundlupet          | kabbahalli                |6664| GLPS PARAMAPUR                                             |29270211601
 chamrajnagar      | kollegal           | kunthur                   |6833| GHPS                                                       |29270500701
 chamrajnagar      | kollegal           | kothanur                  |6860| GLPSURDU                                                   |29270519402
 chamrajnagar      | kollegal           | kollegal-1                |6863| GHPS HAMPAPURA                                             | 
 chamrajnagar      | kollegal           | sathegala                 |6906| GLPS                                                       |29270521101
 chamrajnagar      | yelandur           | maddur                    |6917| GLPS BOODE THITTU -2                                       |29271201902
 chamrajnagar      | yelandur           | yelandur                  |6925| GULPS YARIYUR                                              | 
 chamrajnagar      | yelandur           | duggatti                  |6945| GHPS Y.K.MOLE                                              |29271205601
 chamrajnagar      | yelandur           | gumballi                  |6961| GULPS YARAGAMBALLI                                         |29271203503
 chamrajnagar      | kollegal           | sathegala                 |6972| GLPS C.R NAGAR                                             | 
 chamrajnagar      | hanur              | lokkanahalli              |6995| GHPS KOLLEGAL                                              | 
 chikballapur      | bagepally          | billur                    |10252| GLPS DIGGINAIKANAPALLI                                     |29290105501
 chikballapur      | bagepally          | billur                    |10260| GLPS ADINARAYANAPURA                                       |29290119403
 chikballapur      | bagepally          | chakavelu                 |10274| GLPS RAJAVANDLAPALLI                                       |29290103010
 chikballapur      | bagepally          | chakavelu                 |10282| GLPS MANJUNATHAPURA                                        |29290110204
 chikballapur      | bagepally          | chelur                    |10304| S T ASHRAMA SCHOOL                                         |29290113404
 chikballapur      | bagepally          | chelur                    |10310| GLPS RAGIMAKALAPALLI                                       |29290117301
 chikballapur      | bagepally          | chelur                    |10311| GLPS GUNDAMVARIPALLI                                       |29290117702
 chikballapur      | bagepally          | gulur                     |10333| GLPS ANJANAPURA                                            |29290113602
 chikballapur      | bagepally          | marganukunte              |10419| GLPS MUMADIVARIPALLI                                       |29290116203
 chikballapur      | bagepally          | somanathapura             |10464| GLPS BUDALAPALLI                                           |29290119104
 chikballapur      | bagepally          | somanathapura             |10466| GLPS GOTLAPALLI                                            |29290119106
 chikballapur      | bagepally          | somanathapura             |10469| GLPS MARIMAKALAPALLI                                       |29290119109
 chikballapur      | bagepally          | achaganapalli             |10489| GLPS PULAKUNTLAPALLI                                       |29290116803
 chikballapur      | bagepally          | palyakere                 |10499| GLPS GUNDAMVARIPALLI                                       | 
 chikballapur      | chikkaballapur     | mandikal                  |10574| GLPS HOSAHALLI                                             |29290310201
 chikballapur      | chikkaballapur     | chikkaballapur            |10671| GUHP S MAIN CHIKKABALLAPUR                                 | 
 chikballapur      | chikkaballapur     | vaddrapalya               |10735| GLPS SUSEPALYA                                             |29290302001
 chikballapur      | chikkaballapur     | vaddrapalya               |10753| GLPS YERRMARANAHALLI                                       | 
 chikballapur      | bagepally          | yallampalli               |10777| GLPS YADAHALLI                                             | 
 chikballapur      | chintamani         | kaiwara                   |10783| GLPS HOSAHUDYA                                             |29290415501
 chikballapur      | chintamani         | chintamani                |10801| GUHP S K R EXTENSION                                       | 
 chikballapur      | chintamani         | batlahalli                |10893| GLPS CHANNARAYANAHALLI                                     |29290406501
 chikballapur      | chintamani         | batlahalli                |10899| GLPS KARIYAPPALLI                                          |29290403106
 chikballapur      | chintamani         | k raguttahalli            |10920| GLPS GOLLAHALLI                                            |29290411701
 chikballapur      | chintamani         | chilakalanerpu            |10959| GLPS NERADAGUNTAPALLI                                      | 
 chikballapur      | chintamani         | buradagunte               |11002| GUHP S PAPATHIMMANAHALLI                                   |29290429501
 chikballapur      | chintamani         | talagavara                |11044| GHPS SANTHEKALLAHALLI                                      |29290431202
 chikballapur      | chintamani         | talagavara                |11048| GULP S TALAGAVARA                                          |29290433402
 chikballapur      | gowribidanur       | gowribidanur              |11222| GLPS SAKKARE KARKANE                                       | 
 chikballapur      | gowribidanur       | manchenahalli             |11272| GLPS BUDIVANTHANAHALLI                                     |29290503001
 chikballapur      | gowribidanur       | manchenahalli             |11292| GLPS M HOSAHALLI                                           |29290515502
 chikballapur      | gowribidanur       | nagaragere                |11304| GLPS BANDAMEEDATHANDA                                      |29290504702
 chikballapur      | gowribidanur       | nagaragere                |11307| GLPS JIKALAVARAPALLI                                       | 
 chikballapur      | gowribidanur       | alipura                   |11415| GLPS MARATIPALYA                                           | 
 chikballapur      | gowribidanur       | d palya                   |11426| GLPS DINNEMELINAHALLI                                      |29290504902
 chikballapur      | gowribidanur       | d palya                   |11436| GLPS LAKSHMIPURA                                           | 
 chikballapur      | gowribidanur       | thondebavi                |11450| GLPS CHIKKAMALLEKERE                                       | 
 chikballapur      | gowribidanur       | thondebavi                |11474| GLPS BHOOMENAHALLI (THONDEBAVI                             |29290523401
 chikballapur      | gudibanda          | hampasandra               |11585| GHPS ADINARAYANAPURA                                       |29290600101
 chikballapur      | gudibanda          | hampasandra               |11595| GLPS KADENAHALLI DINNE                                     | 
 chikballapur      | gudibanda          | hampasandra               |11608| GLPS SANJEEVARAYANAHALLI                                   |29290608301
 chikballapur      | sidlaghatta        | sadali                    |11635| GLPS JARUGAHALLI                                           | 
 chikballapur      | sidlaghatta        | sadali                    |11636| GLPD KONDAPPAGARAHALLI                                     | 
 chikballapur      | sidlaghatta        | jangamakote               |11711| GLPS HOSAHALLI                                             | 
 chitradurga       | chitradurga        | turuvanur                 |11883| GHPS GIRLS                                                 |29130113201
 chitradurga       | chitradurga        | turuvanur                 |11892| GLPS                                                       |29130113901
 chitradurga       | chitradurga        | turuvanur                 |11895| GHPS TURUVANUR BAGENAHALLY                                 | 
 chitradurga       | chitradurga        | sirigere                  |11935| GHPS                                                       |29130106601
